diagonal;height_left;height_right;margin_low;margin_up;length
172.14;103.8;103.56;3.94;3.12;113.38
172.47;103.82;103.59;3.85;2.77;113.17
171.26;104.19;104.26;5.17;3.35;111.04
171.98;104.36;103.44;4.19;3.2;112.92
171.74;103.95;103.78;4.74;3.29;113.04
171.45;104.21;104.19;3.91;3.01;113.11
171.8;104.14;104.26;5.67;3.35;111.46
171.75;103.95;103.36;4.57;3.25;113.08
171.36;103.59;103.68;4.44;3.32;113.23
171.78;103.38;104.22;4.23;3.07;113.77
172.11;104.1;104.18;4.52;3.21;111.45
172.09;104.44;104.24;4.9;3.13;111.93
172.24;104.11;103.55;5.02;3.63;111.33
172.51;103.57;104.27;3.72;3.33;113.47
171.85;103.87;103.27;4.09;2.95;113.09
171.86;104.12;104.1;6.01;3.34;111.91
171.55;103.5;104.51;4.61;2.95;113.31
171.47;104.3;104.01;4.32;2.68;113.07
172.01;103.95;103.77;4.16;3.1;113.19
172.06;103.56;103.76;3.83;3.05;113.42
171.56;104.47;104.04;6.38;3.43;112.12
171.4;103.96;103.85;4.15;2.81;113.45
171.6;104.02;103.9;4.2;3.15;113.15
171.74;104.17;104.56;5.54;3.05;111.67
172.43;103.83;104.13;3.72;2.81;113.27
172.12;103.76;103.66;4.27;2.95;113.4
171.87;103.95;103.52;3.94;3.02;113.33
172.05;104.37;104.14;5.38;3.27;111.14
171.84;103.62;103.93;4.29;2.95;113.22
171.41;104.47;104.08;3.87;3.18;113.14
171.51;104.13;103.9;4.99;3.6;111.23
172.69;104.48;103.5;4.4;2.94;113.16
171.75;103.6;103.4;4.02;2.84;112.9
171.84;104.63;104.43;5.24;3.21;111.48
172.09;103.65;103.25;3.96;2.85;113.2
172.07;103.83;103.71;4.44;2.99;113.11
172.15;104.08;104.1;4.34;2.78;113.33
171.63;103.7;103.63;4.21;3.25;112.76
172.3;104.18;104.1;4.52;3.02;113.02
171.39;103.51;103.5;5.52;3.45;111.54
172.61;104.31;104.13;5.85;3.27;111.63
171.65;103.95;103.61;4.03;3.25;113.06
172.32;103.95;103.94;4.23;3.31;111.41
172.61;103.98;103.73;3.87;3.16;113.11
171.38;104.52;104.22;4.58;3.41;111.84
171.69;104.17;104.37;5.31;3.54;111.89
172.09;103.63;103.33;4.32;2.88;113.46
171.38;103.75;103.16;4.32;3.02;113.25
171.77;103.79;104.11;3.92;3.18;113.33
172.29;104.04;103.94;3.81;3.0;113.6
172.3;104.58;104.17;4.36;3.33;112.98
171.85;103.66;103.9;4.16;2.98;112.91
171.72;104.06;103.8;5.69;3.64;111.77
172.05;104.6;104.32;5.12;3.35;111.78
171.88;104.44;103.5;4.53;3.06;113.52
172.02;103.73;103.31;4.35;3.07;113.62
171.95;104.08;104.08;5.66;3.32;110.93
172.26;104.66;103.58;4.36;2.8;112.44
171.43;103.85;103.94;4.37;3.23;111.71
171.68;104.18;103.89;4.4;3.33;113.21
171.26;103.87;104.41;4.43;2.88;113.9
171.82;103.9;103.67;4.79;3.36;112.43
171.82;103.61;103.84;3.99;2.73;113.4
171.76;103.79;104.05;5.12;3.22;112.08
171.97;103.79;103.56;4.17;3.11;113.58
171.85;104.1;103.88;4.13;2.93;112.93
171.94;104.56;104.25;4.6;3.37;110.64
171.99;103.54;103.44;3.8;3.08;113.04
171.68;103.54;104.31;3.9;3.1;112.91
172.19;104.07;103.71;4.0;2.82;112.71
172.16;104.12;104.21;5.01;3.43;110.99
171.49;103.94;103.85;4.32;3.32;113.67
172.34;103.94;103.91;4.13;3.23;112.85
171.7;104.42;104.04;4.75;3.32;111.63
171.56;103.44;104.09;4.41;2.97;113.59
171.76;104.04;103.88;4.18;3.21;113.15
172.32;104.16;104.14;3.78;3.25;113.38
172.17;103.74;104.08;4.42;2.95;112.81
172.29;104.43;104.8;4.86;3.3;111.53
172.24;104.06;103.53;4.13;2.89;112.38
171.84;103.59;103.98;4.09;3.05;113.09
171.73;104.1;104.19;3.39;3.19;112.79
171.49;103.63;103.83;3.85;3.26;113.1
171.94;104.34;103.99;4.27;2.87;113.14
172.35;103.72;103.67;4.2;3.07;112.87
172.36;104.04;104.31;4.76;3.56;111.57
171.61;104.04;104.06;6.19;3.08;110.73
171.81;104.37;104.18;5.9;3.52;110.95
172.46;103.64;103.53;4.41;3.4;113.75
171.74;104.0;103.83;3.95;3.03;114.15
172.1;104.05;103.84;3.76;3.17;113.44
171.54;104.53;104.15;5.69;3.43;111.7
172.05;103.75;103.47;4.19;2.98;112.89
171.87;104.21;103.82;4.81;3.12;112.06
172.75;104.33;103.97;4.34;3.14;113.12
171.75;104.03;103.85;4.36;2.96;113.22
171.9;104.02;103.91;5.38;3.48;111.98
172.4;104.26;103.83;4.31;3.01;112.82
171.74;104.07;104.08;5.06;3.52;111.76
172.16;104.04;104.02;4.06;3.08;113.02
171.55;104.46;104.36;4.69;3.31;111.57
171.98;103.92;103.57;4.14;2.75;113.13
172.4;103.51;103.52;3.68;3.16;113.35
172.13;103.76;103.33;4.37;3.48;113.34
171.69;104.51;103.81;5.02;3.42;112.08
172.12;104.38;104.31;4.82;3.18;111.82
172.27;104.18;103.78;5.58;3.25;112.38
171.16;103.8;103.93;4.95;3.36;112.29
171.68;103.84;103.98;3.52;3.01;113.45
172.16;104.23;104.19;5.09;3.61;112.43
172.27;103.71;103.64;4.64;2.67;113.63
171.47;104.28;103.89;5.78;3.21;111.8
171.43;104.26;103.91;5.14;3.53;111.9
171.38;103.83;103.99;4.44;3.12;113.48
172.43;104.04;104.26;4.56;3.24;112.82
172.02;104.22;104.19;5.14;3.73;110.49
171.71;104.49;103.54;3.77;3.2;113.43
172.32;103.99;104.01;4.22;2.95;113.08
171.83;104.54;103.91;4.11;3.05;113.55
172.51;104.53;103.5;4.51;3.07;113.21
171.96;104.45;104.48;5.31;3.42;111.75
171.85;103.65;103.55;4.48;3.31;112.89
172.36;104.11;103.31;4.04;2.98;113.37
171.58;103.34;103.82;3.53;2.92;113.63
171.54;103.98;103.96;5.57;3.09;111.88
172.34;104.36;103.83;6.03;3.44;111.44
171.72;104.46;104.12;;3.61;110.31
171.99;103.79;103.9;4.62;2.9;112.92
172.18;103.6;103.76;3.59;2.75;112.24
172.37;104.19;104.58;4.25;2.82;112.88
172.06;104.24;103.66;4.24;3.1;113.02
172.15;104.26;104.2;5.5;3.49;112.33
172.42;104.07;103.73;4.23;3.11;113.27
171.79;103.83;103.76;3.99;3.18;112.9
171.89;103.63;104.12;4.37;3.06;113.38
172.4;104.0;103.82;6.33;3.1;112.11
172.08;104.1;103.96;5.64;3.13;111.51
172.34;104.2;103.69;3.32;3.09;113.44
171.96;104.17;103.35;4.35;3.31;113.67
171.97;104.04;104.24;4.23;2.84;113.54
172.21;104.27;104.01;4.23;2.79;113.78
172.05;103.9;103.76;4.52;2.71;113.42
172.52;104.11;104.35;5.3;3.31;111.55
172.36;103.89;103.67;4.34;3.07;113.75
172.06;104.08;103.47;4.47;2.97;114.32
171.95;104.03;103.68;4.11;2.75;113.62
171.57;104.27;104.44;;3.21;111.87
172.24;104.22;103.67;4.3;3.33;113.13
172.28;104.09;104.2;3.66;2.83;113.48
172.43;103.65;104.3;4.09;2.94;113.06
172.08;104.04;103.44;5.39;3.19;111.04
172.57;103.78;103.65;4.27;3.04;113.0
171.96;104.16;103.67;3.98;3.23;112.97
171.51;104.34;103.49;4.29;3.03;113.42
172.51;103.78;103.94;4.24;3.39;113.13
172.27;103.95;103.75;3.94;3.19;114.04
172.22;103.71;103.43;4.13;3.06;113.42
172.17;103.89;103.87;5.22;3.68;110.68
171.88;103.84;104.18;5.02;3.05;112.07
172.4;104.42;104.18;4.62;3.31;111.27
171.57;103.98;103.4;4.05;2.74;113.7
171.87;103.77;104.23;4.1;3.08;112.44
171.34;103.95;103.29;4.89;2.76;112.58
172.48;103.59;104.03;4.1;2.74;112.78
171.99;103.91;103.79;4.05;3.11;113.67
172.28;104.03;104.14;4.48;3.07;113.32
172.14;104.01;104.0;3.64;3.16;113.37
171.45;104.03;104.26;4.88;3.44;111.92
171.62;104.12;103.81;4.38;3.13;112.64
171.92;103.79;103.34;3.84;2.8;113.0
171.98;104.44;104.08;4.67;3.21;112.73
172.09;104.24;103.83;5.1;3.37;111.69
172.44;104.06;103.79;4.28;3.16;113.31
171.89;103.66;103.28;3.79;3.03;112.74
172.0;104.17;104.44;4.72;3.4;111.17
171.87;104.29;103.53;3.91;2.89;112.91
172.04;103.76;104.03;5.07;3.42;111.87
171.56;104.32;104.33;3.92;2.97;113.04
172.12;103.9;104.32;3.83;3.03;113.56
171.92;104.12;104.15;3.83;2.88;112.65
172.07;103.91;104.21;4.12;3.42;111.91
171.79;104.64;103.74;5.97;3.26;111.86
172.09;104.4;104.21;5.28;3.41;112.11
172.2;103.82;103.74;4.22;3.03;113.69
172.0;103.69;103.91;4.12;3.33;112.84
171.91;104.28;103.92;3.64;3.36;113.15
172.56;103.72;103.51;;3.12;112.95
171.91;103.99;103.81;4.0;2.88;113.02
171.94;104.09;103.28;3.98;3.13;113.53
171.88;104.58;104.31;4.88;2.82;113.71
171.68;104.24;104.0;4.49;3.24;112.18
171.79;104.05;104.3;5.02;3.44;112.01
171.36;103.91;103.94;3.62;3.01;113.51
171.73;104.12;104.36;4.71;3.5;112.15
171.76;104.25;104.65;4.25;3.22;111.45
172.12;104.08;103.93;4.72;3.18;113.38
171.42;104.65;103.63;3.99;3.05;113.08
171.8;103.96;103.87;3.97;2.65;112.68
171.3;104.49;103.89;4.88;3.17;111.51
171.71;103.43;103.61;4.11;2.97;112.95
172.16;103.72;103.61;4.3;2.72;113.51
